time, N, D, A, C
1 , 14859 , 417 , 119093 , 1045
2 , 14844 , 416 , 119140 , 1029
3 , 14845 , 417 , 119170 , 1007
4 , 14828 , 419 , 119208 , 991
5 , 14843 , 412 , 119239 , 958
6 , 14839 , 407 , 119262 , 946
7 , 14844 , 407 , 119277 , 933
8 , 14841 , 410 , 119281 , 936
9 , 14838 , 410 , 119298 , 923
10 , 14845 , 410 , 119303 , 913
11 , 14851 , 406 , 119306 , 905
12 , 14849 , 410 , 119306 , 911
13 , 14851 , 408 , 119306 , 909
14 , 14856 , 407 , 119306 , 903
15 , 14864 , 403 , 119312 , 893
16 , 14856 , 409 , 119312 , 894
17 , 14864 , 408 , 119311 , 887
18 , 14864 , 405 , 119313 , 888
19 , 14860 , 402 , 119316 , 893
20 , 14856 , 401 , 119322 , 898
21 , 14847 , 404 , 119330 , 900
22 , 14848 , 402 , 119326 , 905
23 , 14838 , 404 , 119334 , 908
24 , 14838 , 404 , 119336 , 912
25 , 14832 , 406 , 119338 , 918
26 , 14829 , 406 , 119341 , 921
27 , 14822 , 406 , 119349 , 925
28 , 14816 , 405 , 119359 , 924
29 , 14809 , 406 , 119372 , 919
30 , 14811 , 406 , 119387 , 902
31 , 14804 , 405 , 119386 , 914
32 , 14808 , 404 , 119389 , 909
33 , 14793 , 404 , 119393 , 920
34 , 14786 , 403 , 119391 , 933
35 , 14770 , 399 , 119391 , 955
36 , 14757 , 398 , 119406 , 956
37 , 14742 , 399 , 119423 , 959
38 , 14729 , 400 , 119430 , 975
39 , 14711 , 399 , 119451 , 980
40 , 14706 , 398 , 119471 , 976
41 , 14697 , 398 , 119491 , 967
42 , 14686 , 399 , 119508 , 964
43 , 14690 , 393 , 119522 , 955
44 , 14677 , 398 , 119549 , 939
45 , 14680 , 394 , 119562 , 930
46 , 14676 , 394 , 119586 , 915
47 , 14680 , 393 , 119600 , 901
48 , 14676 , 395 , 119612 , 896
49 , 14677 , 396 , 119616 , 893
50 , 14673 , 402 , 119626 , 883
51 , 14690 , 400 , 119624 , 873
52 , 14689 , 403 , 119622 , 874
53 , 14694 , 402 , 119617 , 872
54 , 14695 , 401 , 119610 , 875
55 , 14701 , 400 , 119602 , 875
56 , 14703 , 402 , 119596 , 874
57 , 14707 , 405 , 119587 , 875
58 , 14706 , 403 , 119580 , 879
59 , 14705 , 400 , 119579 , 885
60 , 14709 , 402 , 119574 , 883
61 , 14714 , 401 , 119571 , 881
62 , 14721 , 398 , 119562 , 883
63 , 14714 , 399 , 119559 , 890
64 , 14707 , 399 , 119563 , 893
65 , 14709 , 397 , 119563 , 892
66 , 14705 , 394 , 119570 , 893
67 , 14701 , 394 , 119570 , 897
68 , 14696 , 393 , 119572 , 902
69 , 14687 , 393 , 119579 , 904
70 , 14685 , 392 , 119588 , 902
71 , 14683 , 392 , 119592 , 903
72 , 14682 , 393 , 119596 , 899
73 , 14686 , 391 , 119599 , 895
74 , 14681 , 393 , 119604 , 894
75 , 14689 , 391 , 119604 , 889
76 , 14682 , 393 , 119605 , 894
77 , 14687 , 391 , 119614 , 882
78 , 14680 , 394 , 119621 , 881
79 , 14688 , 392 , 119627 , 870
80 , 14685 , 393 , 119627 , 876
81 , 14693 , 392 , 119624 , 872
82 , 14682 , 394 , 119623 , 882
83 , 14686 , 393 , 119625 , 877
84 , 14684 , 394 , 119624 , 879
85 , 14689 , 392 , 119624 , 876
86 , 14686 , 393 , 119622 , 880
87 , 14683 , 391 , 119624 , 883
88 , 14683 , 392 , 119627 , 879
89 , 14686 , 391 , 119630 , 874
90 , 14682 , 393 , 119630 , 876
91 , 14685 , 391 , 119629 , 876
92 , 14680 , 393 , 119631 , 877
93 , 14686 , 391 , 119632 , 872
94 , 14682 , 393 , 119631 , 875
95 , 14686 , 392 , 119630 , 873
96 , 14680 , 394 , 119631 , 876
97 , 14686 , 393 , 119627 , 875
98 , 14682 , 393 , 119626 , 880
99 , 14684 , 393 , 119629 , 875
100 , 14688 , 393 , 119626 , 874
101 , 14689 , 393 , 119625 , 874
102 , 14687 , 394 , 119626 , 874
103 , 14685 , 394 , 119625 , 877
104 , 14681 , 395 , 119624 , 881
105 , 14686 , 393 , 119622 , 880
106 , 14684 , 393 , 119621 , 883
107 , 14683 , 392 , 119624 , 882
108 , 14683 , 393 , 119626 , 879
109 , 14677 , 394 , 119627 , 883
110 , 14685 , 392 , 119627 , 877
111 , 14683 , 392 , 119630 , 876
112 , 14682 , 393 , 119628 , 878
113 , 14686 , 391 , 119631 , 873
